year,percent
1910,40.6
1911,40.8
1912,41.1
1913,41.0
1914,41.5
1915,40.1
1916,44.1
1917,40.5
1918,40.1
1919,40.3
1920,39.0
1921,43.2
1922,43.7
1923,41.5
1924,44.4
1925,46.4
1926,45.7
1927,46.7
1928,49.3
1929,46.7
1930,43.9
1931,44.5
1932,46.4
1933,45.6
1934,45.8
1935,44.5
1936,46.6
1937,44.2
1938,44.1
1939,45.5
1940,45.3
1941,41.9
1942,36.1
1943,33.7
1944,32.5
1945,34.4
1946,36.7
1947,34.4
1948,35.0
1949,34.8
1950,35.6
1951,34.2
1952,33.2
1953,32.3
1954,33.6
1955,33.9
1956,33.5
1957,33.0
1958,33.6
1959,34.0
1960,33.5
1961,34.3
1962,33.7
1963,33.8
1964,34.4
1965,34.8
1966,33.7
1967,34.4
1968,34.9
1969,33.9
1970,32.6
1971,33.3
1972,33.6
1973,33.3
1974,33.3
1975,33.4
1976,33.4
1977,33.6
1978,33.5
1979,34.2
1980,34.6
1981,34.5
1982,35.3
1983,36.4
1984,36.7
1985,37.6
1986,40.6
1987,38.3
1988,40.6
1989,40.1
1990,40.0
1991,39.6
1992,40.8
1993,40.7
1994,40.8
1995,42.1
1996,43.5
1997,44.6
1998,45.4
1999,46.5
2000,47.6
2001,44.8
2002,43.8
2003,44.5
2004,46.4
2005,48.3
2006,49.3
2007,49.7
2008,48.2
2009,46.5
2010,47.9
